Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
truth,com.google.common.truth,MapSubjectTest,0,0,76,76,666,76,0,0,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/MapSubjectTest.java,29
truth,com.google.common.truth,ExpectFailureWithStackTraceTest,2,1,1,1,38,1,0,0,0.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ExpectFailureWithStackTraceTest.java,28
truth,com.google.common.truth,ExpectFailureWithStackTraceTest.FailingExpect,0,0,0,0,27,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ExpectFailureWithStackTraceTest.java,43
truth,com.google.common.truth,SubjectFactoryReflectionTest,0,0,4,4,33,4,0,0,-1.0,0,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/SubjectFactoryReflectionTest.java,28
truth,com.google.common.truth,SubjectFactoryReflectionTest.ParameterizedSubject,0,0,0,0,5,0,0,1,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/SubjectFactoryReflectionTest.java,61
truth,com.google.common.truth,TruthAssertThatTest,1,0,5,5,33,5,0,0,1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/TruthAssertThatTest.java,35
truth,com.google.common.truth,RelabeledSubjectsTest,0,0,6,6,68,6,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/RelabeledSubjectsTest.java,26
truth,com.google.common.truth,CorrespondenceTest,1,0,11,11,97,11,0,0,0.9090909090909091,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/CorrespondenceTest.java,27
truth,com.google.common.truth,PrimitiveCharArraySubjectTest,0,0,11,10,65,11,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/PrimitiveCharArraySubjectTest.java,25
truth,com.google.common.truth,StringSubjectTest,0,0,34,34,236,34,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/StringSubjectTest.java,27
